1	321
1	497
2	444
2	442
3	202
4	202
5	472
6	200
7	205
8	6
8	8
8	1
9	408
9	2
9	381
9	1
10	312
10	319
10	440
10	445
13	318
13	204
14	307
15	307
16	307
17	320
17	321
17	319
17	445
17	497
21	203
22	493
23	480
24	210
24	472
24	200
25	208
25	436
26	210
27	206
29	206
30	209
31	318
32	307
33	307
34	319
34	312
35	319
35	320
36	321
36	320
37	444
38	376
38	254
39	444
39	442
39	428
40	1
41	408
42	408
42	2
43	7
43	2
44	4
44	3
45	417
45	5
46	10
47	10
48	421
49	9
49	421
50	410
51	8
51	1
52	417
53	254
54	273
55	274
56	270
57	270
58	307
59	271
59	275
60	207
60	213
61	276
61	275
62	276
63	272
65	206
66	206
67	209
68	209
69	493
69	474
70	474
71	482
72	480
73	480
74	71
75	208
77	109
77	7
78	12
79	110
79	12
80	111
81	111
82	22
83	22
84	109
84	22
85	50
86	37
87	71
88	219
89	219
90	253
91	467
91	466
92	467
92	353
93	353
94	354
95	494
95	354
96	398
96	6
96	8
98	356
99	355
99	356
100	355
101	299
101	207
101	355
102	299
102	207
103	254
104	254
105	274
106	270
107	273
108	270
109	271
109	275
110	410
111	213
112	37
112	3
113	466
115	241
115	253
116	237
117	237
118	226
119	376
119	254
119	246
120	246
121	246
121	249
122	250
123	247
124	247
126	251
126	248
127	251
127	275
128	284
130	466
132	210
133	467
133	353
133	279
134	353
134	281
135	466
135	467
136	467
136	466
136	279
137	353
137	467
137	281
138	354
138	285
139	354
139	494
139	294
139	285
140	356
140	289
141	355
141	288
142	299
142	267
143	392
143	110
145	272
148	111
148	172
149	111
149	172
150	22
151	109
151	22
152	22
153	50
154	37
155	429
155	212
155	292
155	269
155	208
157	269
159	284
160	284
161	284
162	289
162	494
162	294
162	356
163	279
164	279
165	279
165	281
165	467
166	281
166	279
166	353
167	281
168	285
168	354
169	294
169	285
169	354
170	267
171	252
171	276
172	289
173	288
173	289
174	399
174	103
175	168
175	110
175	19
175	12
176	172
177	299
177	296
177	267
178	213
179	12
179	19
180	21
181	102
181	21
182	49
183	398
183	399
183	103
184	36
185	423
185	71
186	218
186	219
187	218
187	219
188	253
189	240
189	241
190	236
190	237
191	236
191	237
192	225
192	226
193	284
194	284
196	279
196	359
197	279
197	281
197	359
198	281
198	279
198	366
199	281
200	285
201	294
201	285
202	289
203	168
203	392
203	110
204	288
204	370
204	289
205	288
205	370
207	251
207	248
208	251
209	335
210	317
211	172
212	269
213	252
214	359
214	366
214	279
215	366
216	370
217	123
217	103
218	366
218	359
218	281
219	369
219	375
219	294
219	285
220	487
220	289
221	284
222	21
222	29
223	369
223	285
224	168
224	19
225	19
226	172
227	267
228	370
229	423
230	218
232	240
233	218
235	236
236	236
237	375
237	487
237	294
237	289
238	225
243	335
244	430
244	296
245	430
245	296
247	487
248	412
248	411
249	411
249	412
250	359
251	359
251	366
252	366
252	359
253	366
254	369
255	375
255	369
257	405
257	102
257	21
258	123
258	118
259	13
260	13
261	29
261	23
262	123
262	103
262	118
263	21
263	29
264	49
264	402
264	48
265	36
265	402
265	35
266	62
267	78
268	422
269	422
270	240
270	81
271	81
272	80
273	80
274	79
275	82
276	425
276	83
277	423
279	426
279	84
280	89
281	90
281	92
282	92
283	93
284	335
284	93
285	317
285	91
287	96
287	88
288	96
289	85
289	94
290	95
290	94
291	97
292	97
293	101
294	370
294	98
294	487
295	370
295	98
296	435
296	87
297	435
298	86
299	412
299	77
300	62
301	78
302	412
302	391
303	393
304	82
305	82
306	89
308	429
308	100
308	490
308	491
308	88
308	269
308	292
309	86
310	167
311	23
311	29
312	82
314	83
314	425
315	83
315	425
316	84
316	426
317	84
317	426
319	89
320	221
320	78
321	245
321	422
322	447
323	451
324	259
324	451
325	492
325	100
325	88
325	306
326	28
326	407
326	13
327	167
327	406
327	28
328	245
328	422
329	243
329	81
330	243
330	81
331	239
331	80
332	451
332	259
333	259
334	263
335	263
336	453
337	308
338	358
338	94
338	293
338	85
339	453
340	322
340	454
340	90
340	92
341	322
341	92
342	455
343	315
343	91
344	331
344	93
345	331
345	93
346	306
346	88
348	367
348	96
349	367
350	293
351	365
351	358
351	95
351	94
352	365
352	95
353	368
353	97
354	368
354	97
355	489
355	98
357	62
358	221
358	78
359	239
359	80
360	447
360	82
361	374
361	101
361	368
362	488
362	99
363	118
363	13
363	407
364	390
364	48
365	402
365	48
366	402
366	35
367	79
368	308
368	89
369	489
369	98
370	87
373	221
373	174
374	221
374	174
375	245
375	178
376	447
376	179
377	451
377	447
377	179
377	190
378	451
378	259
378	190
379	259
379	451
379	180
380	259
381	263
382	263
383	245
383	178
384	243
385	243
385	177
386	239
386	176
387	239
387	176
387	175
388	453
388	191
389	308
389	453
389	186
390	308
391	322
391	189
392	455
392	193
393	455
394	331
395	331
396	315
396	188
397	306
399	365
399	358
399	195
400	367
400	196
401	367
402	293
403	293
404	358
404	293
405	365
406	368
407	368
408	374
408	368
408	495
409	488
410	489
411	66
412	169
412	76
413	184
414	104
414	389
414	73
415	104
415	117
415	74
415	400
416	73
417	169
418	489
418	198
419	56
420	56
421	133
422	133
423	41
424	184
425	66
426	174
427	174
428	178
429	178
430	177
431	177
432	176
433	176
434	175
435	82
436	196
437	182
438	179
439	179
440	190
440	179
441	190
441	180
442	180
442	190
443	180
444	181
445	181
446	76
447	169
447	76
448	191
448	181
449	191
449	186
450	186
451	186
453	454
453	187
453	322
454	189
454	322
455	413
455	183
456	413
456	173
457	189
458	193
459	193
460	192
461	192
462	188
463	188
464	315
465	185
467	196
468	182
468	194
469	194
469	182
470	194
470	195
470	358
471	195
472	197
473	495
473	197
474	199
474	495
474	374
475	199
476	198
477	183
478	173
478	413
479	75
481	169
482	169
483	169
484	56
485	56
486	133
487	133
488	179
489	189
490	189
491	174
491	220
492	174
492	220
493	178
493	244
494	178
494	244
495	177
496	179
497	190
497	180
498	180
498	190
499	180
500	181
501	181
502	191
503	193
504	193
505	192
506	192
507	188
508	188
509	177
509	242
510	176
510	238
511	176
511	238
512	186
512	191
513	186
514	184
515	185
517	196
518	183
519	196
520	182
520	194
521	194
521	182
522	194
522	195
523	197
523	195
524	197
524	495
525	182
526	498
526	74
527	73
527	116
528	162
529	55
530	75
530	20
530	403
531	158
532	162
533	163
534	163
535	55
536	132
537	495
537	199
537	364
537	363
538	199
538	198
538	363
539	72
539	66
540	220
541	220
542	244
543	244
544	242
545	158
545	75
546	242
547	238
548	238
549	424
549	175
550	255
551	326
551	190
551	255
552	326
552	260
553	260
553	326
554	260
555	264
556	264
557	327
557	264
558	327
558	191
559	498
559	74
559	11
560	448
560	327
561	463
561	187
562	325
563	325
564	132
565	41
566	338
567	338
568	334
569	334
570	464
572	255
573	280
573	357
574	357
574	280
575	357
575	360
576	360
576	357
577	360
577	361
577	195
578	364
578	361
579	300
