1	6	8	282.803893
2	1	8	414.663795
3	1	408	537.885212
4	2	408	594.558372
5	2	7	530.299237
6	4	7	495.926598
7	3	4	931.558601
8	3	5	897.690566
9	5	417	618.966713
10	10	417	608.198307
11	10	421	735.584265
12	9	421	493.932579
13	9	376	478.022321
14	1	378	1022.898187
15	379	380	222.192064
16	14	16	435.321742
17	14	379	544.917104
18	15	16	398.008218
19	18	404	105.162848
20	15	18	737.331542
21	17	404	91.719604
22	11	17	723.463795
23	11	407	357.486584
24	13	407	490.142423
25	13	19	546.307509
26	12	19	472.437264
27	1	12	654.891968
28	2	381	394.707271
29	24	26	438.842055
30	24	27	787.349121
31	25	32	375.944960
32	25	26	400.173151
33	31	32	359.730132
34	30	31	198.023159
35	30	403	341.850891
36	20	403	380.463596
37	20	28	352.669977
38	23	28	506.582688
39	23	29	338.854295
40	21	29	425.703299
41	21	22	536.368601
42	2	22	653.453401
43	3	37	650.958436
44	34	383	526.886135
45	38	45	430.218492
46	34	38	431.775568
47	33	45	419.910091
48	33	382	1135.880622
49	39	40	430.320848
50	39	382	440.211564
51	40	44	789.367160
52	43	46	101.160587
53	43	44	348.938993
54	42	46	102.345000
55	41	42	732.760696
56	35	41	756.879578
57	35	36	562.743901
58	36	37	533.972263
59	4	50	652.144262
60	61	385	373.593656
61	51	61	617.790477
62	385	420	520.631279
63	47	415	703.928200
64	47	420	1021.508186
65	33	60	346.432991
66	33	415	805.288211
67	60	384	469.687782
68	52	54	432.910253
69	52	384	717.171606
70	53	59	386.186518
71	53	54	406.795055
72	58	59	344.427341
73	57	58	201.504505
74	55	56	390.261765
75	55	57	344.977447
76	48	56	756.423455
77	48	49	560.631415
78	49	50	535.114823
79	5	386	300.454374
80	388	416	703.815498
81	63	388	407.114888
82	34	416	805.407540
83	63	67	450.492436
84	47	387	426.667603
85	47	67	430.097830
86	64	65	427.823305
87	64	387	1837.920641
88	65	70	406.097961
89	69	70	394.933635
90	68	69	438.899829
91	68	72	453.771996
92	66	72	381.273782
93	62	66	757.319305
94	62	423	570.062902
95	71	423	533.635993
96	5	71	643.767430
97	73	389	479.171833
98	73	74	811.468269
99	11	74	533.419513
100	11	20	532.086901
101	75	76	563.475678
102	20	75	422.906536
103	76	390	659.304499
104	48	390	250.982727
105	35	48	931.453965
106	35	62	897.872867
107	62	78	621.228912
108	78	81	923.706296
109	80	81	414.852081
110	79	80	501.737352
111	79	82	722.986015
112	82	83	686.655193
113	83	84	603.539755
114	84	89	728.756966
115	89	90	730.743984
116	92	93	830.031165
117	90	92	466.056435
118	91	93	483.264988
119	91	100	802.407620
120	88	100	515.122271
121	88	96	788.292594
122	85	96	662.862581
123	85	94	333.254857
124	95	97	396.144515
125	94	95	315.846002
126	99	101	188.024868
127	98	99	367.660162
128	97	101	384.518312
129	87	98	389.688458
130	86	87	642.554901
131	77	86	877.630187
132	77	391	673.681377
133	21	102	529.993002
134	49	102	490.468827
135	36	49	931.491261
136	37	50	931.520684
137	51	115	439.038815
138	51	396	978.909490
139	396	397	789.430625
140	63	114	1022.391706
141	114	115	451.665124
142	63	113	703.841680
143	38	112	409.753744
144	38	113	805.355666
145	107	112	1257.993306
146	380	395	691.817695
147	107	380	810.012532
148	106	401	473.816168
149	395	401	413.280818
150	105	394	493.643619
151	105	106	428.600871
152	108	394	379.270581
153	108	116	463.537499
154	73	116	365.568069
155	73	104	588.114513
156	104	393	566.332038
157	103	393	397.790712
158	103	392	478.988303
159	110	392	289.134720
160	12	110	405.732540
161	12	111	532.032175
162	22	111	602.133228
163	22	109	530.130766
164	50	109	492.928479
165	6	398	563.567188
166	119	121	431.691152
167	120	121	395.795524
168	120	122	838.720467
169	122	498	462.587950
170	74	400	242.092354
171	74	498	358.073051
172	117	118	373.173907
173	117	400	455.300729
174	103	399	199.133970
175	103	123	386.608679
176	118	123	361.452606
177	398	399	622.301300
178	104	117	510.298508
179	13	118	544.100195
180	13	23	533.393137
181	119	401	267.033172
182	14	119	544.917931
183	14	24	528.628694
184	125	126	415.901854
