PipeID,UpNode,DownNode,UpBottomElev,DownBottomElev,Shape,Height,Width,HydrolicRadius,Length,Slope,DesignFlow,CapitalCost(CNY),HasPump
575,301,377,1.99,5.80,CIRC,0.35,0.35,0.09,954.92,-0.01,32,1268499,1
576,441,377,7.00,5.75,CIRC,0.40,0.40,0.10,833.54,0.00,46,62034,0
590,377,443,5.65,2.83,CIRC,0.50,0.50,0.12,1900.82,0.00,73,408526,0
554,437,438,10.80,7.10,CIRC,0.30,0.30,0.07,1237.92,0.00,25,31623,0
553,438,301,7.10,2.04,CIRC,0.30,0.30,0.07,2296.41,0.00,25,365227,0
177,399,398,8.30,7.36,CIRC,0.40,0.40,0.10,622.30,0.00,43,42861,0
165,398,6,7.36,6.52,CIRC,0.40,0.40,0.10,563.57,0.00,43,80698,0
157,103,393,3.79,5.80,CIRC,0.70,0.70,0.17,397.79,0.00,135,2948406,1
155,73,104,7.74,6.85,CIRC,0.50,0.50,0.12,588.11,0.00,71,71868,0
97,389,73,8.85,7.89,CIRC,0.35,0.35,0.09,479.17,0.00,33,22407,0
156,104,393,6.85,6.00,CIRC,0.50,0.50,0.12,566.33,0.00,71,96327,0
159,110,392,5.05,4.59,CIRC,0.60,0.60,0.15,289.13,0.00,110,102339,0
26,19,12,9.40,8.36,CIRC,0.30,0.30,0.07,472.44,0.00,22,24352,0
160,12,110,8.36,7.35,CIRC,0.30,0.30,0.07,405.73,0.00,30,42599,0
275,168,110,5.93,5.15,CIRC,0.50,0.50,0.12,473.75,0.00,62,130239,0
273,8,110,9.90,8.27,CIRC,0.30,0.30,0.07,655.49,0.00,30,35143,0
179,13,118,8.50,7.29,CIRC,0.30,0.30,0.07,544.10,0.00,19,29002,0
176,118,123,7.19,6.64,CIRC,0.40,0.40,0.10,361.45,0.00,42,41414,0
274,123,168,6.59,5.98,CIRC,0.45,0.45,0.11,467.42,0.00,55,87743,0
158,392,103,4.49,3.79,CIRC,0.70,0.70,0.17,478.99,-0.01,129,195558,0
500,268,432,1.83,7.40,CIRC,0.30,0.30,0.07,430.76,-0.01,21,885171,1
243,157,151,4.93,3.44,CIRC,0.20,0.20,0.05,388.47,0.00,15,75979,0
