SubcID,IsRoad,Area,Width,Mode,DisPointID,Partition
177,0,5.8,2.4,0,299,5
178,0,4.3,2.1,0,213,5
179,0,7.2,2.7,0,19,20
180,0,1.8,1.3,0,21,7
181,0,4.9,2.2,0,102,20
182,0,6.7,2.6,0,49,7
183,0,32.9,5.7,0,399,21
184,0,6.8,2.6,0,36,7
185,0,9.0,3.0,0,423,7
186,0,9.7,3.1,0,218,7
187,0,6.3,2.5,0,218,7
188,0,9.7,3.1,0,253,7
189,0,2.9,1.7,0,241,7
190,0,2.5,1.6,0,237,7
191,0,3.3,1.8,0,237,7
192,0,3.2,1.8,0,225,7
193,0,1.1,1.0,0,284,8
194,0,3.2,1.8,0,284,8
195,0,1.5,1.2,0,284,8
196,0,2.5,1.6,0,359,8
197,0,0.9,0.9,0,281,8
198,0,1.2,1.1,0,279,8
199,0,1.2,1.1,0,281,8
200,0,1.5,1.2,0,285,8
201,0,1.4,1.2,0,285,8
202,0,1.2,1.1,0,289,8
203,0,7.2,2.7,0,392,20
204,0,1.3,1.2,0,370,8
205,0,1.3,1.1,0,288,8
206,0,5.0,2.2,0,411,5
207,0,8.0,2.8,0,251,15
208,0,2.5,1.6,0,251,15
209,0,8.4,2.9,0,335,15
210,0,5.7,2.4,0,317,15
211,0,5.0,2.2,0,172,20
212,0,5.4,2.3,0,269,8
213,0,7.7,2.8,0,252,15
214,0,0.9,0.9,0,366,8
215,0,1.2,1.1,0,366,8
216,0,1.3,1.1,0,370,8
217,0,5.1,2.3,0,123,20
218,0,1.3,1.1,0,281,8
219,0,1.6,1.3,0,285,8
220,0,1.3,1.1,0,487,8
221,0,2.9,1.7,0,284,8
222,0,6.7,2.6,0,29,20
223,0,2.3,1.5,0,285,8
224,0,7.9,2.8,0,19,20
225,0,3.0,1.7,0,19,20
226,0,6.2,2.5,0,172,20
227,0,7.3,2.7,0,267,5
228,0,1.8,1.3,0,370,8
229,0,4.8,2.2,0,423,7
230,0,4.9,2.2,0,218,7
231,0,3.8,2.0,0,218,7
232,0,3.0,1.7,0,240,7
233,0,4.2,2.1,0,218,7
234,0,3.7,1.9,0,240,7
235,0,3.5,1.9,0,236,7
236,0,3.6,1.9,0,236,7
237,0,4.9,2.2,0,294,8
238,0,3.5,1.9,0,225,7
239,0,3.1,1.8,0,82,7
240,0,5.6,2.4,0,82,7
241,0,14.4,3.8,0,426,7
242,0,6.0,2.4,0,89,15
243,0,8.7,3.0,0,335,15
244,0,8.1,2.8,0,296,5
245,0,7.5,2.7,0,296,5
246,0,6.6,2.6,0,430,5
247,0,1.3,1.1,0,487,8
248,0,8.7,2.9,0,411,5
249,0,9.8,3.1,0,411,5
250,0,7.9,2.8,0,359,8
251,0,1.0,1.0,0,366,8
252,0,1.3,1.1,0,359,8
253,0,1.4,1.2,0,366,8
254,0,1.7,1.3,0,369,8
255,0,2.6,1.6,0,369,8
256,0,9.4,3.1,0,284,8
257,0,7.6,2.8,0,21,7
258,0,7.1,2.7,0,123,20
259,0,3.5,1.9,0,13,20
260,0,2.7,1.6,0,13,20
261,0,6.9,2.6,0,29,20
262,0,6.3,2.5,0,103,20
263,0,9.3,3.0,0,21,7
