NodeID,X,Y,NodeType,SystemType,SurfaceElev,InvertElev,StrahlerNumber
443,407723.60,4315763.26,OUTFALL_WWTP,0,8.00,2.73,1
471,410503.21,4316658.88,OUTFALL_WWTP,0,11.30,4.79,1
397,402518.67,4311189.42,OUTFALL_WWTP,0,8.70,3.37,1
184,412888.26,4318306.38,OUTFALL_WWTP,0,9.40,6.63,1
393,394723.89,4319527.97,OUTFALL_WWTP,0,9.40,5.70,1
72,400028.25,4317985.57,OUTFALL_WWTP,0,8.80,5.39,1
64,400018.20,4315864.07,OUTFALL_WWTP,0,8.00,5.30,1
388,399078.15,4312586.83,OUTFALL_WWTP,0,10.00,6.85,1
207,413207.18,4320599.02,OUTFALL_WWTP,0,8.00,3.75,1
315,407744.43,4318708.29,OUTFALL_WWTP,0,11.80,8.85,1
446,406426.89,4316673.35,OUTFALL_WWTP,0,11.70,9.29,1
6,395356.59,4320892.42,OUTFALL_WWTP,0,10.30,6.42,1
305,406939.15,4313078.17,OUTFALL_WWTP,0,8.00,1.70,1
412,414516.74,4319352.98,OUTFALL_WWTP,0,8.80,1.83,1
384,398185.29,4315151.25,OUTFALL_WWTP,0,8.00,5.95,1
186,405232.85,4318342.38,OUTFALL_WWTP,0,9.30,5.46,1
167,397197.58,4319012.80,OUTFALL_WWTP,0,9.30,5.15,1
432,413314.64,4317042.94,OUTFALL_WWTP,0,8.30,7.00,1
417,400660.89,4320868.85,OUTFALL_WWTP,0,10.90,9.20,1
376,402976.60,4320858.56,OUTFALL_WWTP,0,9.70,5.15,1
32,396574.56,4317085.77,OUTFALL_WWTP,0,9.30,3.58,1
377,406440.37,4314360.96,Manhole,0,8.00,5.55,2
398,394902.47,4320558.67,Manhole,0,9.40,7.26,1
103,395029.30,4319782.85,Manhole,0,9.30,3.69,2
104,394713.49,4318961.73,Manhole,0,9.40,6.75,1
268,412883.87,4317043.82,Manhole,0,8.30,1.73,3
431,413531.59,4317291.65,Manhole,0,8.80,1.97,4
66,400030.06,4318366.84,Manhole,0,8.80,5.80,4
31,396575.99,4317445.50,Manhole,0,9.30,4.30,1
203,403907.19,4321176.74,Manhole,0,10.80,6.26,2
5,400041.93,4320871.60,Manhole,0,10.00,2.50,5
480,412514.16,4320601.87,Manhole,0,8.00,7.10,1
201,413212.77,4321374.79,Manhole,0,8.00,2.90,5
77,414411.09,4319063.59,Manhole,0,8.80,2.24,4
76,397440.69,4318718.36,Manhole,0,8.00,7.10,1
405,397716.51,4319455.79,Manhole,0,9.30,7.39,1
29,396850.53,4319433.11,Manhole,0,9.40,2.87,4
188,407741.76,4318330.58,Manhole,0,11.80,10.90,1
91,407747.14,4319091.66,Manhole,0,11.80,6.76,3
308,405234.89,4318710.84,Manhole,0,9.30,3.83,6
448,405230.69,4317953.89,Manhole,0,8.70,7.70,1
187,405964.64,4318338.93,Manhole,0,11.70,6.45,3
87,412890.91,4319069.99,Manhole,0,9.40,7.99,2
198,412494.78,4318308.23,Manhole,0,8.80,6.30,1
456,406821.21,4316671.95,Manhole,0,11.70,10.80,1
283,410500.79,4317048.67,Manhole,0,11.30,5.29,3
387,400009.49,4314026.17,Manhole,0,8.00,7.10,1
128,400643.64,4315862.58,Manhole,0,9.40,8.50,1
65,400020.22,4316291.89,Manhole,0,8.00,0.86,5
60,398225.93,4314683.32,Manhole,0,9.30,6.75,2
373,406081.07,4313343.89,Manhole,0,8.00,2.92,2
416,398484.09,4312964.26,Manhole,0,10.80,7.90,1
63,399299.32,4312928.63,Manhole,0,10.00,4.36,3
396,401858.13,4311621.72,Manhole,0,8.70,4.40,1
301,407203.73,4313787.25,Manhole,0,8.00,1.89,1
441,405950.89,4315035.65,Manhole,0,8.00,6.90,1
399,394902.47,4319936.37,Manhole,0,9.30,8.20,1
73,394702.68,4318373.72,Manhole,0,9.40,7.64,1
392,395397.05,4320089.75,Manhole,0,10.30,4.39,2
151,412882.51,4316650.43,Manhole,0,8.30,3.34,2
298,412885.04,4317378.83,Manhole,0,8.80,6.42,1
291,413531.80,4317486.03,Manhole,0,8.80,2.33,4
62,400033.65,4319124.15,Manhole,0,9.30,2.03,1
174,400652.26,4318363.92,Manhole,0,9.70,6.75,4
160,396998.57,4317443.73,Manhole,0,9.80,5.28,1
273,403897.17,4320414.47,Manhole,0,10.80,5.70,2
71,400038.88,4320227.84,Manhole,0,10.00,8.40,4
3,399144.25,4320875.59,Manhole,0,10.00,4.12,4
205,411170.10,4321378.25,Manhole,0,10.10,4.92,5
413,414226.91,4318559.10,Manhole,0,8.30,7.30,1
86,413533.46,4319067.28,Manhole,0,9.40,3.51,4
102,397716.55,4319693.44,Manhole,0,9.30,8.40,1
23,396583.05,4319225.07,Manhole,0,9.40,3.44,3
21,397186.56,4319694.47,Manhole,0,9.40,5.99,2
93,407263.88,4319093.69,Manhole,0,11.80,7.72,2
100,408549.54,4319088.28,Manhole,0,11.80,10.40,2
453,404874.09,4318712.72,Manhole,0,9.70,6.59,5
89,405237.06,4319102.23,Manhole,0,9.30,4.99,2
189,406431.67,4318336.74,Manhole,0,11.70,6.98,3
435,412891.01,4319098.44,Manhole,0,9.40,8.50,1
199,412129.59,4318309.95,Manhole,0,8.30,7.40,1
98,412501.23,4319071.63,Manhole,0,8.80,1.68,2
433,410283.83,4317292.09,Manhole,0,11.30,5.71,3
143,400645.11,4316288.67,Manhole,0,8.00,1.45,5
33,398500.73,4314472.37,Manhole,0,9.30,7.37,1
414,397953.76,4314323.71,Manhole,0,9.40,8.40,1
486,406163.62,4313940.79,Manhole,0,8.00,7.00,1
372,406150.92,4312727.94,Manhole,0,8.80,3.78,1
34,397804.28,4313396.16,Manhole,0,10.80,9.80,1
113,398711.48,4313315.73,Manhole,0,10.00,6.57,2
67,399544.05,4313306.85,Manhole,0,9.40,5.71,1
114,400153.20,4312366.34,Manhole,0,9.00,1.99,3
51,400935.00,4311947.43,Manhole,0,9.30,8.40,1
438,408783.30,4315454.13,Manhole,0,8.00,7.00,1
389,394223.52,4318375.73,Manhole,0,9.80,8.75,1
110,395646.63,4320235.72,Manhole,0,10.30,4.95,2
157,412494.04,4316651.81,Manhole,0,8.30,4.83,2
479,412497.88,4317379.90,Manhole,0,8.80,7.90,1
484,412885.41,4317484.61,Manhole,0,8.80,3.32,3
211,414213.68,4317487.53,Manhole,0,8.30,6.71,1
178,401106.37,4318361.78,Manhole,0,9.70,4.46,3
220,400650.95,4317982.16,Manhole,0,9.30,8.30,1
221,400653.49,4318720.35,Manhole,0,9.70,8.80,1
35,399135.78,4319127.93,Manhole,0,9.30,3.93,1
159,396999.43,4317642.66,Manhole,0,9.80,5.72,1
249,403892.04,4320023.99,Manhole,0,10.00,9.10,1
274,404533.87,4320411.14,Manhole,0,10.80,3.07,2
254,403213.74,4320418.04,Manhole,0,9.70,7.20,1
423,400036.35,4319694.21,Manhole,0,9.70,2.65,4
37,399141.09,4320224.64,Manhole,0,10.00,5.22,3
4,398212.70,4320879.73,Manhole,0,10.00,6.07,1
209,411168.36,4320608.21,Manhole,0,11.80,5.69,5
430,413533.93,4319512.87,Manhole,0,10.00,4.43,3
183,413532.66,4318303.35,Manhole,0,8.80,5.65,1
22,397186.52,4320230.84,Manhole,0,9.40,7.00,2
28,396581.04,4318718.50,Manhole,0,9.30,4.01,3
335,407265.81,4319639.79,Manhole,0,11.80,8.84,1
331,407262.51,4318705.51,Manhole,0,11.80,8.27,1
88,409064.66,4319086.11,Manhole,0,11.80,4.08,2
191,404874.09,4318344.06,Manhole,0,9.30,8.40,1
90,405967.80,4319099.15,Manhole,0,11.70,10.70,1
247,405242.15,4320018.34,Manhole,0,9.70,8.80,1
263,404510.44,4318714.61,Manhole,0,9.70,7.18,5
193,406829.68,4318334.87,Manhole,0,11.70,8.55,2
325,406430.56,4317951.57,Manhole,0,11.70,7.64,3
489,412497.92,4318679.36,Manhole,0,8.80,6.30,1
370,412504.94,4319511.31,Manhole,0,8.80,3.57,2
99,412133.57,4319073.18,Manhole,0,8.30,2.56,1
278,410283.83,4317386.06,Manhole,0,11.30,5.93,3
217,400646.55,4316706.20,Manhole,0,8.80,1.87,4
150,401105.61,4316286.29,Manhole,0,8.00,3.27,1
45,398272.60,4314119.84,Manhole,0,9.40,8.40,1
371,406208.07,4311997.69,Manhole,0,10.40,4.93,1
38,398038.86,4313758.66,Manhole,0,10.00,9.00,1
214,398951.05,4313686.03,Manhole,0,9.40,7.30,1
47,399777.70,4313667.95,Manhole,0,8.00,7.10,1
115,400530.42,4312117.94,Manhole,0,9.30,5.11,1
222,400393.20,4312738.09,Manhole,0,9.00,2.81,3
437,409045.08,4316664.05,Manhole,0,11.70,10.70,1
12,396052.36,4320234.43,Manhole,0,10.30,8.26,1
168,395651.87,4319762.00,Manhole,0,10.30,5.83,1
8,395639.39,4320891.17,Manhole,0,10.80,9.80,1
287,412496.11,4317044.61,Manhole,0,8.30,7.40,1
483,412217.79,4316652.79,Manhole,0,8.30,5.88,1
297,412885.74,4317580.02,Manhole,0,8.80,3.45,3
485,414485.40,4317486.31,Manhole,0,8.30,7.25,1
245,401106.39,4318718.59,Manhole,0,9.70,5.18,2
244,401106.36,4317979.66,Manhole,0,9.30,2.03,2
48,398204.34,4319131.86,Manhole,0,9.80,6.03,1
158,397000.91,4317985.32,Manhole,0,9.80,7.13,1
250,404535.66,4320021.30,Manhole,0,10.80,9.90,1
318,404532.11,4320793.24,Manhole,0,10.80,3.55,2
246,403215.06,4320026.82,Manhole,0,9.70,8.80,1
218,400656.83,4319690.95,Manhole,0,10.00,3.36,4
50,398209.58,4320227.59,Manhole,0,10.00,6.72,2
36,399138.51,4319690.67,Manhole,0,9.80,8.90,1
7,397716.78,4320881.93,Manhole,0,9.30,7.17,1
474,411568.52,4320605.92,Manhole,0,8.00,6.70,4
206,410514.66,4320611.15,Manhole,0,11.80,6.90,3
296,413419.63,4319671.62,Manhole,0,10.00,4.80,3
173,414223.71,4318300.10,Manhole,0,8.30,7.30,1
111,396584.39,4320232.75,Manhole,0,10.30,7.94,2
20,396579.64,4318365.83,Manhole,0,8.00,5.38,1
407,396048.48,4318725.55,Manhole,0,9.30,4.65,3
317,407750.88,4319620.78,Manhole,0,11.80,10.90,1
192,407261.19,4318332.84,Manhole,0,11.80,8.88,1
269,409070.97,4319867.75,Manhole,0,11.80,10.80,1
306,409061.46,4318691.04,Manhole,0,11.80,4.86,2
181,404512.45,4318345.76,Manhole,0,9.30,1.68,4
84,404508.31,4319105.30,Manhole,0,9.70,8.69,1
455,406831.55,4318703.03,Manhole,0,11.70,9.08,1
324,406429.32,4317518.63,Manhole,0,11.20,8.28,3
338,406827.73,4317951.54,Manhole,0,11.70,10.80,1
488,412131.59,4318692.25,Manhole,0,8.30,7.40,1
487,412135.83,4319505.06,Manhole,0,8.30,7.40,1
288,412507.87,4319857.60,Manhole,0,8.30,4.38,1
101,411945.55,4319073.97,Manhole,0,8.00,2.94,1
347,410830.76,4317384.54,Manhole,0,11.70,7.30,2
277,410283.83,4317587.23,Manhole,0,11.30,6.41,3
349,409841.54,4317387.29,Manhole,0,11.70,9.09,1
70,400022.15,4316697.98,Manhole,0,8.80,2.51,4
146,401573.39,4316690.58,Manhole,0,8.00,4.60,1
303,406644.53,4311949.78,Manhole,0,10.40,6.04,1
415,399182.10,4314043.15,Manhole,0,9.30,8.25,1
229,400757.55,4312453.85,Manhole,0,9.00,5.64,1
420,400642.01,4313123.48,Manhole,0,8.30,3.46,3
19,396051.15,4319762.00,Manhole,0,10.30,9.30,1
123,395275.52,4319484.79,Manhole,0,9.30,6.49,1
290,412167.64,4317045.28,Manhole,0,8.30,7.40,1
300,412886.92,4317919.33,Manhole,0,9.40,3.89,3
422,401106.41,4319115.61,Manhole,0,10.00,9.10,1
242,401576.14,4317977.09,Manhole,0,9.30,2.76,2
243,401577.71,4318716.75,Manhole,0,9.70,6.27,1
56,398200.72,4318375.44,Manhole,0,9.30,8.30,1
403,396578.13,4317985.37,Manhole,0,9.30,8.40,1
307,405246.42,4320789.15,Manhole,0,10.00,4.32,2
240,401579.78,4319686.11,Manhole,0,10.00,4.55,3
78,400654.87,4319121.54,Manhole,0,10.00,9.00,1
109,397716.65,4320229.16,Manhole,0,9.30,8.40,1
49,398207.02,4319692.48,Manhole,0,10.00,9.00,1
2,397186.48,4320884.29,Manhole,0,9.40,8.40,1
354,411566.58,4320208.90,Manhole,0,10.10,8.80,4
210,409863.24,4320614.08,Manhole,0,11.80,4.83,2
200,410514.08,4321379.36,Manhole,0,10.10,9.20,1
213,414074.69,4320258.12,Manhole,0,10.00,6.00,2
267,413106.60,4319855.84,Manhole,0,8.80,7.80,1
408,396591.93,4320886.93,Manhole,0,10.30,8.84,1
172,396578.97,4319762.00,Manhole,0,10.30,9.30,1
75,397002.55,4318364.05,Manhole,0,8.00,7.10,1
11,396047.56,4318368.07,Manhole,0,8.00,5.08,3
334,407259.84,4317951.51,Manhole,0,11.80,9.70,1
492,408722.30,4318692.12,Manhole,0,11.80,10.90,1
367,409850.29,4318688.54,Manhole,0,10.10,6.14,2
185,409058.50,4318324.39,Manhole,0,8.00,7.00,1
264,404514.57,4317955.83,Manhole,0,9.30,2.79,3
180,403900.47,4318348.64,Manhole,0,9.70,2.58,2
426,404508.28,4319110.66,Manhole,0,9.70,8.70,1
322,406432.71,4318700.73,Manhole,0,11.70,9.73,1
323,406427.98,4317054.60,Manhole,0,11.70,10.40,2
337,406825.50,4317514.55,Manhole,0,11.20,10.30,1
314,405961.24,4317523.44,Manhole,0,11.20,4.55,2
355,412510.79,4320203.23,Manhole,0,8.30,5.14,1
374,411921.69,4318681.96,Manhole,0,8.00,3.72,1
348,411161.06,4317383.62,Manhole,0,11.70,7.73,2
343,409842.89,4317588.45,Manhole,0,11.70,10.80,1
341,410832.93,4317585.71,Manhole,0,11.70,7.29,3
473,409836.66,4316661.24,Manhole,0,11.70,10.70,1
69,400024.02,4317092.91,Manhole,0,8.80,2.92,4
234,401574.22,4317075.96,Manhole,0,8.80,5.50,1
304,406792.39,4312516.07,Manhole,0,8.80,7.90,1
61,401216.63,4312497.29,Manhole,0,8.70,6.38,1
419,401942.88,4313355.38,Manhole,0,8.00,5.42,3
118,395505.73,4319206.12,Manhole,0,9.30,7.09,1
362,412491.50,4317919.74,Manhole,0,8.80,4.91,2
469,413532.26,4317918.66,Manhole,0,8.80,7.80,1
177,401576.95,4318359.57,Manhole,0,9.70,7.07,1
238,401986.07,4317974.84,Manhole,0,9.30,3.46,2
202,405249.74,4321388.26,Manhole,0,10.80,9.90,1
312,405974.82,4320784.98,Manhole,0,11.70,5.08,2
241,401580.52,4320033.65,Manhole,0,10.90,6.22,2
81,401578.57,4319117.64,Manhole,0,10.00,6.13,1
353,411167.46,4320211.29,Manhole,0,11.30,4.40,3
472,409868.39,4321380.45,Manhole,0,10.10,9.20,1
284,409858.20,4319865.42,Manhole,0,8.00,5.95,1
494,411875.92,4320207.04,Manhole,0,8.00,3.49,2
411,414557.64,4319683.58,Manhole,0,9.40,8.50,1
410,413790.34,4320596.39,Manhole,0,9.40,8.35,1
1,396054.05,4320889.32,Manhole,0,10.80,9.70,1
17,396045.70,4317644.60,Manhole,0,8.00,5.98,3
464,407739.07,4317951.48,Manhole,0,11.80,10.80,1
465,409052.57,4317590.64,Manhole,0,11.70,10.70,1
293,410516.09,4318686.42,Manhole,0,11.70,7.06,2
265,404516.41,4317616.77,Manhole,0,9.30,3.23,2
260,403898.24,4317957.50,Manhole,0,9.30,8.40,1
190,403580.30,4318350.15,Manhole,0,9.30,3.39,2
259,403902.56,4318717.78,Manhole,0,9.70,8.40,2
327,404874.10,4317954.85,Manhole,0,9.30,8.40,1
