RoadID,UpNode,DownNode,QReuse(m3/d),Diameter(m)
403,225,79,66.97,0.1
464,82,447,571.03,0.1
625,453,308,2500.93,0.2
265,122,404,1100.56,0.2
120,88,100,659.14,0.1
22,17,11,1192.85,0.2
509,182,293,203.45,0.1
569,308,186,3098.08,0.2
571,247,89,113.79,0.1
167,121,120,445.2,0.1
660,335,93,342.2,0.1
570,89,308,538.96,0.1
629,327,264,112.55,0.1
622,447,451,678.99,0.1
478,259,180,758.37,0.1
627,326,255,83.55,0.1
568,448,186,119.82,0.1
477,260,180,17.95,0.1
460,257,256,99.24,0.1
152,394,108,99.8,0.1
658,331,93,316.79,0.1
166,119,121,186.03,0.1
185,125,24,128.16,0.1
687,155,340,167.82,0.1
636,328,309,15.5,0.1
591,153,458,312.65,0.1
781,355,288,193.79,0.1
317,197,495,169.54,0.1
545,87,184,805.88,0.1
580,449,314,158.68,0.1
305,193,189,356.09,0.1
230,439,152,109.22,0.1
803,487,370,26.2,0.1
129,98,87,682.82,0.1
770,97,368,86.81,0.1
823,495,374,218.85,0.1
684,462,340,64.72,0.1
492,433,283,1688.77,0.2
616,325,189,1495.92,0.2
771,369,97,42.76,0.1
671,457,323,174.62,0.1
615,323,324,1004.35,0.2
663,322,455,107.06,0.1
804,488,489,35.2,0.1
481,149,462,30.45,0.1
567,310,309,61.94,0.1
672,336,323,743.99,0.1
614,324,325,1418.67,0.2
670,338,193,79.7,0.1
638,309,449,158.68,0.1
780,288,370,233.13,0.1
676,337,324,83.86,0.1
686,340,330,257.35,0.1
127,99,98,260.49,0.1
231,456,446,29.6,0.1
673,332,336,643.8,0.1
544,435,87,82.02,0.1
747,283,471,1698.63,0.2
304,187,186,1888.54,0.2
706,348,347,512.69,0.1
779,370,98,316.97,0.1
487,84,263,248.74,0.1
717,299,355,57.6,0.1
694,343,277,118.33,0.1
316,199,198,24.8,0.1
674,458,332,602.11,0.1
778,489,98,72.73,0.1
704,347,278,560.24,0.1
504,277,278,810.12,0.1
306,189,187,1888.54,0.2
695,341,277,609.95,0.1
824,374,101,245.67,0.1
666,455,193,209.11,0.1
678,333,316,69.86,0.1
594,316,458,186.14,0.1
318,198,184,52.76,0.1
480,426,84,248.74,0.1
675,314,324,299.58,0.1
126,101,99,260.49,0.1
685,311,340,24.81,0.1
769,368,197,144.03,0.1
703,349,278,259.68,0.1
577,152,457,109.22,0.1
697,342,341,599.07,0.1
749,473,349,179.39,0.1
234,154,153,253.37,0.1
54,42,46,450.83,0.1
278,139,409,1509.8,0.2
253,163,55,203.85,0.1
381,215,216,60.15,0.1
727,280,357,74.78,0.1
262,165,166,123.8,0.1
263,164,165,94.7,0.1
707,351,352,48.22,0.1
761,156,286,242.24,0.1
414,235,216,98.04,0.1
495,295,286,40.61,0.1
