SubcID,IsRoad,Area,Width,Mode,DisPointID,Partition
1,0,5.2,2.3,0,497,23
2,0,3.4,1.9,0,442,20
3,0,6.0,2.5,0,202,5
4,0,2.7,1.7,0,202,5
5,0,10.3,3.2,0,472,13
6,0,6.2,2.5,0,200,13
7,0,6.2,2.5,0,205,13
8,0,44.5,6.7,0,6,17
9,0,38.0,6.2,0,1,17
10,0,16.6,4.1,0,319,23
11,0,4.9,2.2,0,210,13
12,0,3.8,2.0,0,210,13
13,0,12.4,3.5,0,318,5
14,0,7.5,2.7,0,307,5
15,0,3.3,1.8,0,307,5
16,0,9.8,3.1,0,307,5
17,0,24.8,5.0,0,319,23
18,0,3.1,1.8,0,210,13
19,0,5.5,2.4,0,206,13
20,0,5.6,2.4,0,209,13
21,0,5.4,2.3,0,203,5
22,0,1.8,1.3,0,493,13
23,0,3.3,1.8,0,480,13
24,0,15.7,4.0,0,210,13
25,0,11.5,3.4,0,436,13
26,0,2.8,1.7,0,210,13
27,0,3.9,2.0,0,206,13
28,0,3.5,1.9,0,210,13
29,0,3.9,2.0,0,206,13
30,0,4.0,2.0,0,209,13
31,0,3.0,1.7,0,318,5
32,0,4.5,2.1,0,307,5
33,0,1.4,1.2,0,307,5
34,0,5.7,2.4,0,312,5
35,0,3.3,1.8,0,320,23
36,0,18.9,4.3,0,321,23
37,0,7.5,2.7,0,444,20
38,0,9.3,3.1,0,376,5
39,0,26.2,5.1,0,444,20
40,0,3.4,1.9,0,1,17
41,0,5.0,2.2,0,408,17
42,0,12.2,3.5,0,2,22
43,0,11.0,3.3,0,2,22
44,0,19.2,4.4,0,4,22
45,0,13.8,3.7,0,417,12
46,0,6.5,2.5,0,10,12
47,0,12.5,3.5,0,10,12
48,0,3.5,1.9,0,421,12
49,0,10.2,3.2,0,421,12
50,0,18.6,4.3,0,410,14
51,0,6.9,2.6,0,8,17
52,0,4.5,2.1,0,417,12
53,0,6.2,2.5,0,254,5
54,0,7.0,2.7,0,273,5
55,0,3.4,1.8,0,274,5
56,0,4.0,2.0,0,270,5
57,0,1.6,1.3,0,270,5
58,0,5.7,2.4,0,307,5
59,0,4.5,2.1,0,271,23
60,0,26.0,5.1,0,207,9
61,0,3.8,1.9,0,276,20
62,0,3.3,1.8,0,276,20
63,0,2.3,1.5,0,272,20
64,0,3.5,1.9,0,272,20
65,0,2.0,1.4,0,206,13
66,0,3.7,1.9,0,206,13
67,0,3.7,1.9,0,209,13
68,0,1.6,1.3,0,209,13
69,0,2.6,1.6,0,474,13
70,0,2.0,1.4,0,474,13
71,0,1.6,1.3,0,482,13
72,0,1.7,1.3,0,480,13
73,0,1.7,1.3,0,480,13
74,0,3.8,1.9,0,71,22
75,0,3.7,1.9,0,208,13
76,0,3.8,2.0,0,210,13
77,0,6.1,2.5,0,109,22
78,0,2.8,1.7,0,12,17
79,0,5.6,2.4,0,110,17
80,0,4.2,2.0,0,111,17
81,0,4.9,2.2,0,111,17
82,0,4.1,2.0,0,22,22
83,0,2.0,1.4,0,22,22
84,0,6.0,2.5,0,109,22
85,0,7.4,2.7,0,50,22
86,0,8.2,2.9,0,37,22
87,0,4.9,2.2,0,71,22
88,0,5.2,2.3,0,219,12
89,0,3.7,1.9,0,219,12
90,0,5.3,2.3,0,253,12
91,0,3.4,1.8,0,466,13
92,0,3.4,1.8,0,353,13
93,0,1.5,1.2,0,353,13
94,0,1.8,1.3,0,354,13
95,0,2.7,1.6,0,354,13
96,0,19.1,4.4,0,8,17
97,0,3.0,1.7,0,210,13
98,0,1.5,1.2,0,356,13
99,0,1.6,1.2,0,355,13
100,0,1.5,1.2,0,355,13
101,0,12.1,3.5,0,299,9
102,0,2.9,1.7,0,207,9
103,0,3.0,1.7,0,254,5
104,0,3.5,1.9,0,254,5
105,0,3.5,1.9,0,274,5
106,0,4.0,2.0,0,270,5
107,0,3.1,1.8,0,273,5
108,0,1.7,1.3,0,270,5
109,0,4.7,2.2,0,275,23
110,0,9.1,3.0,0,410,14
111,0,1.8,1.3,0,213,14
112,0,11.9,3.5,0,3,22
113,0,2.9,1.7,0,466,13
114,0,8.7,2.9,0,213,14
115,0,16.5,4.1,0,253,12
116,0,5.3,2.3,0,237,12
117,0,7.0,2.7,0,237,12
118,0,7.0,2.6,0,226,12
119,0,15.5,3.9,0,376,5
120,0,1.7,1.3,0,246,5
121,0,6.7,2.6,0,249,5
122,0,3.4,1.8,0,250,5
123,0,3.7,1.9,0,247,5
124,0,1.7,1.3,0,247,5
125,0,6.0,2.4,0,247,5
126,0,4.6,2.1,0,248,23
127,0,4.0,2.0,0,275,23
128,0,5.1,2.3,0,284,13
129,0,6.4,2.5,0,284,13
130,0,0.7,0.8,0,466,13
131,0,5.0,2.2,0,269,13
132,0,6.7,2.6,0,210,13
133,0,0.9,0.9,0,467,13
134,0,1.2,1.1,0,281,13
135,0,1.1,1.0,0,467,13
136,0,1.4,1.2,0,279,13
137,0,1.2,1.1,0,281,13
138,0,1.6,1.2,0,285,13
139,0,2.0,1.4,0,354,13
140,0,1.2,1.1,0,289,13
141,0,1.2,1.1,0,288,13
142,0,3.9,2.0,0,299,9
143,0,15.1,3.9,0,392,17
144,0,9.4,3.1,0,272,20
145,0,6.3,2.5,0,272,20
146,0,1.8,1.4,0,299,9
147,0,3.1,1.8,0,411,14
148,0,3.5,1.9,0,172,17
149,0,4.3,2.1,0,111,17
150,0,2.3,1.5,0,22,22
151,0,6.7,2.6,0,22,22
152,0,3.7,1.9,0,22,22
153,0,8.1,2.8,0,50,22
154,0,9.0,3.0,0,37,22
155,0,14.8,3.8,0,269,13
156,0,1.5,1.2,0,466,13
157,0,2.1,1.4,0,269,13
158,0,1.3,1.2,0,269,13
159,0,0.9,0.9,0,284,13
160,0,1.1,1.1,0,284,13
161,0,3.4,1.8,0,284,13
162,0,2.0,1.4,0,356,13
163,0,1.2,1.1,0,279,13
164,0,1.5,1.2,0,279,13
165,0,1.0,1.0,0,467,13
166,0,1.3,1.1,0,279,13
167,0,1.3,1.1,0,281,13
168,0,1.6,1.3,0,285,13
169,0,1.7,1.3,0,354,13
170,0,3.9,2.0,0,267,7
171,0,9.9,3.1,0,252,20
172,0,1.2,1.1,0,289,13
173,0,1.5,1.2,0,289,13
174,0,5.8,2.4,0,399,17
175,0,7.9,2.8,0,168,17
176,0,1.8,1.4,0,172,17
177,0,5.8,2.4,0,299,9
178,0,4.3,2.1,0,213,14
179,0,7.2,2.7,0,19,17
180,0,1.8,1.3,0,21,17
181,0,4.9,2.2,0,21,17
182,0,6.7,2.6,0,49,22
183,0,32.9,5.7,0,103,17
184,0,6.8,2.6,0,36,22
185,0,9.0,3.0,0,71,22
186,0,9.7,3.1,0,219,12
187,0,6.3,2.5,0,218,22
188,0,9.7,3.1,0,253,12
189,0,2.9,1.7,0,240,12
190,0,2.5,1.6,0,237,12
191,0,3.3,1.8,0,236,12
192,0,3.2,1.8,0,226,12
193,0,1.1,1.0,0,284,13
194,0,3.2,1.8,0,284,13
195,0,1.5,1.2,0,284,13
196,0,2.5,1.6,0,279,13
197,0,0.9,0.9,0,279,13
198,0,1.2,1.1,0,366,13
199,0,1.2,1.1,0,281,13
200,0,1.5,1.2,0,285,13
201,0,1.4,1.2,0,285,13
202,0,1.2,1.1,0,289,13
203,0,7.2,2.7,0,168,17
204,0,1.3,1.2,0,289,13
205,0,1.3,1.1,0,370,13
206,0,5.0,2.2,0,411,14
207,0,8.0,2.8,0,248,23
208,0,2.5,1.6,0,251,23
209,0,8.4,2.9,0,335,23
210,0,5.7,2.4,0,317,23
211,0,5.0,2.2,0,172,17
212,0,5.4,2.3,0,269,13
213,0,7.7,2.8,0,252,20
214,0,0.9,0.9,0,279,13
215,0,1.2,1.1,0,366,13
216,0,1.3,1.1,0,370,13
217,0,5.1,2.3,0,103,17
218,0,1.3,1.1,0,359,13
219,0,1.6,1.3,0,375,13
220,0,1.3,1.1,0,487,13
221,0,2.9,1.7,0,284,13
222,0,6.7,2.6,0,21,17
223,0,2.3,1.5,0,285,13
224,0,7.9,2.8,0,19,17
225,0,3.0,1.7,0,19,17
226,0,6.2,2.5,0,172,17
227,0,7.3,2.7,0,267,7
228,0,1.8,1.3,0,370,13
229,0,4.8,2.2,0,423,22
230,0,4.9,2.2,0,218,22
231,0,3.8,2.0,0,218,22
232,0,3.0,1.7,0,240,12
233,0,4.2,2.1,0,218,22
234,0,3.7,1.9,0,240,12
235,0,3.5,1.9,0,236,12
236,0,3.6,1.9,0,236,12
237,0,4.9,2.2,0,294,13
238,0,3.5,1.9,0,225,12
239,0,3.1,1.8,0,82,8
240,0,5.6,2.4,0,82,8
241,0,14.4,3.8,0,426,8
242,0,6.0,2.4,0,89,8
243,0,8.7,3.0,0,335,23
244,0,8.1,2.8,0,430,7
245,0,7.5,2.7,0,296,7
246,0,6.6,2.6,0,430,7
247,0,1.3,1.1,0,487,13
248,0,8.7,2.9,0,412,14
249,0,9.8,3.1,0,412,14
250,0,7.9,2.8,0,359,13
251,0,1.0,1.0,0,366,13
252,0,1.3,1.1,0,359,13
253,0,1.4,1.2,0,366,13
254,0,1.7,1.3,0,369,13
255,0,2.6,1.6,0,369,13
256,0,9.4,3.1,0,284,13
257,0,7.6,2.8,0,405,17
258,0,7.1,2.7,0,118,17
259,0,3.5,1.9,0,13,17
260,0,2.7,1.6,0,13,17
261,0,6.9,2.6,0,29,17
262,0,6.3,2.5,0,103,17
263,0,9.3,3.0,0,29,17
264,0,13.3,3.7,0,402,10
265,0,15.1,3.9,0,36,22
266,0,4.3,2.1,0,62,22
267,0,2.9,1.7,0,78,22
268,0,3.7,1.9,0,422,22
269,0,3.3,1.8,0,422,22
270,0,5.5,2.3,0,81,12
271,0,2.8,1.7,0,81,12
272,0,2.4,1.5,0,80,12
273,0,3.3,1.8,0,80,12
274,0,3.1,1.8,0,79,12
275,0,4.5,2.1,0,82,8
276,0,3.7,1.9,0,83,8
277,0,17.7,4.2,0,423,22
278,0,2.2,1.5,0,425,8
279,0,4.0,2.0,0,426,8
280,0,4.8,2.2,0,89,8
281,0,15.3,3.9,0,92,23
282,0,20.0,4.5,0,92,23
283,0,2.5,1.6,0,93,23
284,0,4.8,2.2,0,93,23
285,0,6.5,2.6,0,317,23
286,0,3.2,1.8,0,96,13
287,0,15.3,3.9,0,88,13
288,0,3.8,2.0,0,96,13
289,0,2.7,1.6,0,94,13
290,0,2.5,1.6,0,94,13
291,0,1.6,1.3,0,97,13
292,0,1.2,1.1,0,97,13
293,0,1.5,1.2,0,101,13
294,0,3.3,1.8,0,98,7
295,0,3.6,1.9,0,98,7
296,0,4.1,2.0,0,435,7
297,0,4.1,2.0,0,435,7
