PipeID,UpNode,DownNode,UpBottomElev,DownBottomElev,Shape,Height,Width,HydrolicRadius,Length,Slope,DesignFlow,CapitalCost(CNY),HasPump
148,106,401,3.15,2.43,CIRC,0.50,0.50,0.12,473.82,0.00,70,199504,0
166,119,121,8.90,7.94,CIRC,0.30,0.30,0.07,431.69,0.00,20,21365,0
209,121,106,3.80,3.20,CIRC,0.45,0.45,0.11,456.38,0.00,57,164272,0
18,15,16,7.20,5.68,CIRC,0.20,0.20,0.05,398.01,0.00,13,22534,0
210,16,121,5.58,3.95,CIRC,0.30,0.30,0.07,542.90,0.00,20,108610,0
149,401,395,2.43,8.70,CIRC,0.50,0.50,0.12,413.28,-0.02,70,1913843,1
146,395,380,8.70,7.65,CIRC,0.50,0.50,0.12,691.82,0.00,70,67041,0
15,380,379,7.65,7.31,CIRC,0.50,0.50,0.12,222.19,-0.00,70,26736,0
234,154,153,10.80,9.20,CIRC,0.30,0.30,0.07,474.69,0.00,18,12126,0
594,316,458,9.30,7.54,CIRC,0.20,0.20,0.05,458.71,0.00,15,28675,0
591,458,153,7.44,6.61,CIRC,0.30,0.30,0.07,377.78,0.00,27,52570,0
592,153,443,6.51,5.15,CIRC,0.40,0.40,0.10,905.49,-0.00,42,145498,0
575,301,377,3.63,2.42,CIRC,0.80,0.80,0.20,954.92,0.00,160,396580,0
557,302,437,10.40,9.40,CIRC,0.70,0.70,0.17,725.46,0.00,138,129959,0
554,437,438,9.30,6.60,CIRC,0.80,0.80,0.20,1237.92,0.00,154,289610,0
553,438,301,6.60,3.63,CIRC,0.80,0.80,0.20,2296.41,0.00,154,663508,0
749,473,349,10.80,9.19,CIRC,0.30,0.30,0.07,726.06,0.00,22,47806,0
493,283,468,10.50,9.52,CIRC,0.20,0.20,0.05,326.34,0.00,1,17279,0
736,470,282,10.50,9.33,CIRC,0.20,0.20,0.05,390.78,0.00,9,22597,0
738,282,348,7.84,7.21,CIRC,0.60,0.60,0.15,336.29,0.00,88,91630,0
761,156,286,9.10,8.51,CIRC,0.40,0.40,0.10,391.37,0.00,41,22486,0
495,295,286,4.17,3.50,CIRC,0.35,0.35,0.09,333.93,0.00,35,90465,0
497,286,282,3.35,7.94,CIRC,0.50,0.50,0.12,390.81,-0.02,74,2001558,1
766,350,286,9.30,8.01,CIRC,0.20,0.20,0.05,336.00,0.00,1,17014,0
494,468,282,9.52,8.24,CIRC,0.20,0.20,0.05,333.17,0.00,4,40778,0
721,347,341,6.61,6.24,CIRC,0.60,0.60,0.15,201.18,0.00,91,68579,0
504,277,278,5.27,4.93,CIRC,0.60,0.60,0.15,201.17,0.00,103,80624,0
695,341,277,6.24,5.27,CIRC,0.60,0.60,0.15,549.11,0.00,96,203717,0
694,343,277,10.90,9.21,CIRC,0.20,0.20,0.05,440.94,0.00,3,22349,0
706,348,347,7.21,6.61,CIRC,0.60,0.60,0.15,330.30,0.00,91,102490,0
703,278,349,4.93,4.23,CIRC,0.60,0.60,0.15,442.29,0.00,111,198802,0
702,349,302,4.13,10.40,CIRC,0.70,0.70,0.17,790.60,-0.01,126,2948490,1
590,377,443,2.42,4.75,CIRC,0.80,0.80,0.20,1900.82,-0.00,160,3875219,1
821,346,352,5.83,5.06,CIRC,0.20,0.20,0.05,201.19,0.00,12,21770,0
786,345,351,7.50,6.73,CIRC,0.20,0.20,0.05,201.19,0.00,7,7601,0
