NodeID,X,Y,NodeType,SystemType,SurfaceElev,InvertElev,StrahlerNumber
397,402518.67,4311189.42,OUTFALL_WWTP,0,8.70,6.41,1
184,412888.26,4318306.38,OUTFALL_WWTP,0,9.40,8.40,1
379,396039.75,4315332.15,OUTFALL_WWTP,0,9.30,5.16,1
432,413314.64,4317042.94,OUTFALL_WWTP,0,8.30,4.93,1
72,400028.25,4317985.57,OUTFALL_WWTP,0,8.80,1.97,1
429,408669.79,4319868.93,OUTFALL_WWTP,0,11.80,4.96,1
207,413207.18,4320599.02,OUTFALL_WWTP,0,8.00,6.95,1
315,407744.43,4318708.29,OUTFALL_WWTP,0,11.80,10.50,1
305,406939.15,4313078.17,OUTFALL_WWTP,0,8.00,3.90,1
471,410503.21,4316658.88,OUTFALL_WWTP,0,11.30,7.30,1
186,405232.85,4318342.38,OUTFALL_WWTP,0,9.30,3.61,1
32,396574.56,4317085.77,OUTFALL_WWTP,0,9.30,3.31,1
64,400018.20,4315864.07,OUTFALL_WWTP,0,8.00,6.30,1
147,403226.27,4316684.71,OUTFALL_WWTP,0,8.70,6.23,1
393,394723.89,4319527.97,OUTFALL_WWTP,0,9.40,3.23,1
6,395356.59,4320892.42,OUTFALL_WWTP,0,10.30,6.17,1
446,406426.89,4316673.35,OUTFALL_WWTP,0,11.70,9.77,1
380,395969.48,4315121.36,Manhole,0,9.80,5.43,3
431,413531.59,4317291.65,Manhole,0,8.80,5.28,3
104,394713.49,4318961.73,Manhole,0,9.40,3.78,4
398,394902.47,4320558.67,Manhole,0,9.40,6.91,1
269,409070.97,4319867.75,Manhole,0,11.80,5.28,6
410,413790.34,4320596.39,Manhole,0,9.40,8.35,1
480,412514.16,4320601.87,Manhole,0,8.00,5.67,1
331,407262.51,4318705.51,Manhole,0,11.80,6.87,2
188,407741.76,4318330.58,Manhole,0,11.80,7.50,2
308,405234.89,4318710.84,Manhole,0,9.30,4.02,3
198,412494.78,4318308.23,Manhole,0,8.80,6.31,1
300,412886.92,4317919.33,Manhole,0,9.40,5.26,2
87,412890.91,4319069.99,Manhole,0,9.40,8.50,1
66,400030.06,4318366.84,Manhole,0,8.80,2.21,5
31,396575.99,4317445.50,Manhole,0,9.30,3.78,4
258,403224.98,4317067.96,Manhole,0,8.70,7.80,1
461,403566.84,4316683.50,Manhole,0,8.70,4.56,1
323,406427.98,4317054.60,Manhole,0,11.70,10.30,5
456,406821.21,4316671.95,Manhole,0,11.70,5.53,2
283,410500.79,4317048.67,Manhole,0,11.30,7.14,2
470,411159.41,4316656.55,Manhole,0,11.30,8.16,5
65,400020.22,4316291.89,Manhole,0,8.00,0.36,3
387,400009.49,4314026.17,Manhole,0,8.00,1.00,3
373,406081.07,4313343.89,Manhole,0,8.00,5.08,2
301,407203.73,4313787.25,Manhole,0,8.00,7.10,1
396,401858.13,4311621.72,Manhole,0,8.70,7.60,1
395,395391.69,4315501.84,Manhole,0,9.80,6.27,3
291,413531.80,4317486.03,Manhole,0,8.80,5.49,3
117,395223.79,4318961.64,Manhole,0,8.00,4.29,4
399,394902.47,4319936.37,Manhole,0,9.30,8.25,1
208,409077.04,4320617.62,Manhole,0,11.80,7.84,3
88,409064.66,4319086.11,Manhole,0,11.80,10.90,1
284,409858.20,4319865.42,Manhole,0,8.00,6.40,6
482,412141.55,4320603.46,Manhole,0,8.00,7.10,1
464,407739.07,4317951.48,Manhole,0,11.80,8.13,2
455,406831.55,4318703.03,Manhole,0,11.70,7.58,2
89,405237.06,4319102.23,Manhole,0,9.30,4.45,3
362,412491.50,4317919.74,Manhole,0,8.80,7.90,1
297,412885.74,4317580.02,Manhole,0,8.80,6.38,2
62,400033.65,4319124.15,Manhole,0,9.30,2.68,5
160,396998.57,4317443.73,Manhole,0,9.80,4.58,3
30,396576.78,4317643.52,Manhole,0,9.30,4.35,3
148,403891.00,4316682.35,Manhole,0,8.70,5.28,1
154,407255.31,4316670.41,Manhole,0,11.70,10.70,1
336,406823.15,4317052.14,Manhole,0,11.70,6.21,2
457,405959.30,4317057.52,Manhole,0,11.20,3.57,5
468,410827.13,4317048.01,Manhole,0,11.70,10.80,1
433,410283.83,4317292.09,Manhole,0,11.30,7.84,2
156,411549.19,4316655.16,Manhole,0,10.10,8.70,5
143,400645.11,4316288.67,Manhole,0,8.00,1.30,3
47,399777.70,4313667.95,Manhole,0,8.00,1.51,3
486,406163.62,4313940.79,Manhole,0,8.00,7.00,1
372,406150.92,4312727.94,Manhole,0,8.80,5.93,2
401,395229.24,4315881.86,Manhole,0,9.80,6.78,3
469,413532.26,4317918.66,Manhole,0,8.80,7.80,1
211,414213.68,4317487.53,Manhole,0,8.30,6.26,3
118,395505.73,4319206.12,Manhole,0,9.30,4.77,3
400,395515.89,4318612.39,Manhole,0,8.00,5.89,2
96,409852.94,4319082.79,Manhole,0,10.10,8.60,6
210,409863.24,4320614.08,Manhole,0,11.80,9.30,2
436,409083.21,4321381.78,Manhole,0,10.10,2.95,3
212,408708.72,4320619.28,Manhole,0,11.80,9.35,1
334,407259.84,4317951.51,Manhole,0,11.80,9.40,1
316,407735.92,4317505.18,Manhole,0,10.10,9.00,2
193,406829.68,4318334.87,Manhole,0,11.70,8.11,2
247,405242.15,4320018.34,Manhole,0,9.70,5.60,3
484,412885.41,4317484.61,Manhole,0,8.80,7.90,1
481,412488.64,4317581.12,Manhole,0,8.80,7.90,1
35,399135.78,4319127.93,Manhole,0,9.30,5.28,2
423,400036.35,4319694.21,Manhole,0,9.70,3.06,5
161,396997.02,4317082.61,Manhole,0,9.30,8.40,1
165,397399.84,4317442.05,Manhole,0,9.30,5.48,3
403,396578.13,4317985.37,Manhole,0,9.30,7.80,2
17,396045.70,4317644.60,Manhole,0,8.00,6.35,1
149,404521.51,4316680.11,Manhole,0,8.70,7.80,1
337,406825.50,4317514.55,Manhole,0,11.20,7.80,1
332,407256.65,4317049.45,Manhole,0,11.70,10.55,1
313,405960.79,4317414.25,Manhole,0,11.20,7.69,4
152,405957.71,4316675.01,Manhole,0,11.20,4.44,1
278,410283.83,4317386.06,Manhole,0,11.30,8.12,2
286,411551.10,4317046.53,Manhole,0,10.10,4.19,4
475,411548.06,4316425.03,Manhole,0,8.00,0.81,2
217,400646.55,4316706.20,Manhole,0,8.80,5.41,1
150,401105.61,4316286.29,Manhole,0,8.00,2.15,3
128,400643.64,4315862.58,Manhole,0,9.40,8.50,1
415,399182.10,4314043.15,Manhole,0,9.30,2.36,3
304,406792.39,4312516.07,Manhole,0,8.80,7.80,1
371,406208.07,4311997.69,Manhole,0,10.40,7.72,1
106,395043.00,4316317.54,Manhole,0,9.80,8.75,1
119,395496.27,4315883.50,Manhole,0,9.80,7.13,3
485,414485.40,4317486.31,Manhole,0,8.30,7.25,1
173,414223.71,4318300.10,Manhole,0,8.30,0.81,3
13,396049.74,4319215.69,Manhole,0,9.40,8.20,2
123,395275.52,4319484.79,Manhole,0,9.30,5.40,2
74,395514.15,4318370.31,Manhole,0,8.00,6.23,2
206,410514.66,4320611.15,Manhole,0,11.80,10.50,2
442,407763.35,4321384.01,Manhole,0,8.00,4.75,3
85,410515.80,4319080.00,Manhole,0,11.70,10.20,6
292,408510.58,4319990.00,Manhole,0,11.80,10.80,1
338,406827.73,4317951.54,Manhole,0,11.70,10.80,1
192,407261.19,4318332.84,Manhole,0,11.80,10.90,1
189,406431.67,4318336.74,Manhole,0,11.70,8.76,2
459,409051.77,4317491.65,Manhole,0,11.70,4.55,2
270,405244.30,4320407.44,Manhole,0,10.00,6.11,3
41,399132.12,4318371.06,Manhole,0,8.70,7.70,1
71,400038.88,4320227.84,Manhole,0,10.00,3.42,5
48,398204.34,4319131.86,Manhole,0,9.80,7.50,1
164,397398.85,4317641.84,Manhole,0,9.30,5.97,2
166,397401.65,4317079.58,Manhole,0,9.30,8.40,1
158,397000.91,4317985.32,Manhole,0,9.80,8.50,2
404,396045.46,4317552.88,Manhole,0,8.00,6.70,1
333,407258.28,4317510.10,Manhole,0,10.10,9.20,1
