1	24	206.0	200.6	38	26770.8170	4.3011	1.0000	29.5479
2	24	218.6	211.5	42	28401.9076	4.3307	1.0000	29.5479
3	26	209.0	182.4	49	28054.3985	3.8375	0.5778	31.8258
4	24	220.1	189.9	48	29926.7110	4.3188	0.5768	31.8315
5	24	217.2	194.2	39	27055.5920	3.8793	0.5711	31.8619
6	19	218.4	185.8	38	26967.4869	3.7155	0.5699	31.8685
7	26	215.6	186.8	43	27152.4077	3.6355	0.5588	31.9288
8	24	215.2	186.1	42	26685.9593	3.8806	0.5263	32.1037
9	25	213.9	183.9	34	26919.2611	3.8706	0.5182	32.1474
10	24	214.3	182.0	41	24715.8476	2.9550	0.4966	32.2639
11	26	215.5	164.6	45	24558.8153	3.1767	0.4647	32.4362
12	24	220.3	182.4	48	24503.4005	2.9362	0.4505	32.5128
13	20	213.2	182.0	42	24385.3454	3.1569	0.4406	32.5663
14	24	218.6	182.7	42	23532.4785	2.8844	0.4092	32.7359
15	24	206.0	174.6	38	21830.0038	2.6466	0.3786	32.9011
16	13	225.1	145.9	47	26006.7614	4.6503	0.2135	33.7916
17	24	220.3	0.0	48	19483.0913	1.8345	0.0000	34.9438
18	24	206.0	0.0	38	18611.2749	1.8743	0.0000	34.9438
19	24	218.6	0.0	42	19630.2133	1.8777	0.0000	34.9438
20	24	214.3	0.0	41	19563.9309	1.8889	0.0000	34.9438
