SubcID,IsRoad,Area,Width,Mode,DisPointID,Partition
1,0,5.2,2.3,1,321,21
2,0,3.4,1.9,1,444,21
3,0,6.0,2.5,1,202,21
4,0,2.7,1.7,1,202,21
5,0,10.3,3.2,1,472,9
6,0,6.2,2.5,1,200,9
7,0,6.2,2.5,1,205,9
8,0,44.5,6.7,1,6,12
9,0,38.0,6.2,1,1,17
10,0,16.6,4.1,1,440,21
11,0,4.9,2.2,1,210,9
12,0,3.8,2.0,1,210,9
13,0,12.4,3.5,1,318,21
14,0,7.5,2.7,1,307,21
15,0,3.3,1.8,1,307,21
16,0,9.8,3.1,1,307,21
17,0,24.8,5.0,1,445,21
18,0,3.1,1.8,1,210,9
19,0,5.5,2.4,1,206,9
20,0,5.6,2.4,1,209,9
21,0,5.4,2.3,1,203,21
22,0,1.8,1.3,1,493,9
23,0,3.3,1.8,1,480,9
24,0,15.7,4.0,1,210,9
25,0,11.5,3.4,1,436,21
26,0,2.8,1.7,1,210,9
27,0,3.9,2.0,1,206,9
28,0,3.5,1.9,1,210,9
29,0,3.9,2.0,1,206,9
30,0,4.0,2.0,1,209,9
31,0,3.0,1.7,1,318,21
32,0,4.5,2.1,1,307,21
33,0,1.4,1.2,1,307,21
34,0,5.7,2.4,1,319,21
35,0,3.3,1.8,1,320,21
36,0,18.9,4.3,1,321,21
37,0,7.5,2.7,1,444,21
38,0,9.3,3.1,1,254,21
39,0,26.2,5.1,1,442,21
40,0,3.4,1.9,1,1,17
41,0,5.0,2.2,1,408,17
42,0,12.2,3.5,1,2,20
43,0,11.0,3.3,1,7,20
44,0,19.2,4.4,1,4,20
45,0,13.8,3.7,1,417,20
46,0,6.5,2.5,1,10,20
47,0,12.5,3.5,1,10,20
48,0,3.5,1.9,1,421,20
49,0,10.2,3.2,1,421,20
50,0,18.6,4.3,1,410,14
51,0,6.9,2.6,1,8,4
52,0,4.5,2.1,1,417,20
53,0,6.2,2.5,1,254,21
54,0,7.0,2.7,1,273,21
55,0,3.4,1.8,1,274,21
56,0,4.0,2.0,1,270,21
57,0,1.6,1.3,1,270,21
58,0,5.7,2.4,1,307,21
59,0,4.5,2.1,1,275,21
60,0,26.0,5.1,1,207,9
61,0,3.8,1.9,1,275,21
62,0,3.3,1.8,1,276,21
63,0,2.3,1.5,1,272,21
64,0,3.5,1.9,1,272,21
65,0,2.0,1.4,1,206,9
66,0,3.7,1.9,1,206,9
67,0,3.7,1.9,1,209,9
68,0,1.6,1.3,1,209,9
69,0,2.6,1.6,1,474,9
70,0,2.0,1.4,1,474,9
71,0,1.6,1.3,1,482,9
72,0,1.7,1.3,1,480,9
73,0,1.7,1.3,1,480,9
74,0,3.8,1.9,1,71,20
75,0,3.7,1.9,1,208,21
76,0,3.8,2.0,1,210,9
77,0,6.1,2.5,1,109,20
78,0,2.8,1.7,1,12,4
79,0,5.6,2.4,1,12,4
80,0,4.2,2.0,1,111,17
81,0,4.9,2.2,1,111,17
82,0,4.1,2.0,1,22,17
83,0,2.0,1.4,1,22,17
84,0,6.0,2.5,1,22,17
85,0,7.4,2.7,1,50,20
86,0,8.2,2.9,1,37,20
87,0,4.9,2.2,1,71,20
88,0,5.2,2.3,1,219,20
89,0,3.7,1.9,1,219,20
90,0,5.3,2.3,1,253,20
91,0,3.4,1.8,1,466,10
92,0,3.4,1.8,1,353,9
93,0,1.5,1.2,1,353,9
94,0,1.8,1.3,1,354,9
95,0,2.7,1.6,1,494,9
96,0,19.1,4.4,1,8,4
97,0,3.0,1.7,1,210,9
98,0,1.5,1.2,1,356,9
99,0,1.6,1.2,1,356,9
100,0,1.5,1.2,1,355,3
101,0,12.1,3.5,1,355,3
102,0,2.9,1.7,1,207,9
103,0,3.0,1.7,1,254,21
104,0,3.5,1.9,1,254,21
105,0,3.5,1.9,1,274,21
106,0,4.0,2.0,1,270,21
107,0,3.1,1.8,1,273,21
108,0,1.7,1.3,1,270,21
109,0,4.7,2.2,1,275,21
110,0,9.1,3.0,1,410,14
111,0,1.8,1.3,1,213,14
112,0,11.9,3.5,1,37,20
113,0,2.9,1.7,1,466,10
114,0,8.7,2.9,1,213,14
115,0,16.5,4.1,1,241,20
116,0,5.3,2.3,1,237,20
117,0,7.0,2.7,1,237,20
118,0,7.0,2.6,1,226,20
119,0,15.5,3.9,1,376,21
120,0,1.7,1.3,1,246,21
121,0,6.7,2.6,1,249,21
122,0,3.4,1.8,1,250,21
123,0,3.7,1.9,1,247,16
124,0,1.7,1.3,1,247,16
125,0,6.0,2.4,1,247,16
126,0,4.6,2.1,1,248,21
127,0,4.0,2.0,1,275,21
128,0,5.1,2.3,1,284,9
129,0,6.4,2.5,1,284,9
130,0,0.7,0.8,1,466,10
131,0,5.0,2.2,1,269,10
132,0,6.7,2.6,1,210,9
133,0,0.9,0.9,1,467,9
134,0,1.2,1.1,1,281,9
135,0,1.1,1.0,1,467,9
136,0,1.4,1.2,1,279,9
137,0,1.2,1.1,1,281,9
138,0,1.6,1.2,1,285,9
139,0,2.0,1.4,1,354,9
140,0,1.2,1.1,1,356,9
141,0,1.2,1.1,1,288,3
142,0,3.9,2.0,1,299,3
143,0,15.1,3.9,1,392,4
144,0,9.4,3.1,1,272,21
145,0,6.3,2.5,1,272,21
146,0,1.8,1.4,1,299,3
147,0,3.1,1.8,1,411,14
148,0,3.5,1.9,1,111,17
149,0,4.3,2.1,1,172,17
150,0,2.3,1.5,1,22,17
151,0,6.7,2.6,1,22,17
152,0,3.7,1.9,1,22,17
153,0,8.1,2.8,1,50,20
154,0,9.0,3.0,1,37,20
155,0,14.8,3.8,1,292,21
156,0,1.5,1.2,1,466,10
157,0,2.1,1.4,1,269,10
158,0,1.3,1.2,1,269,10
159,0,0.9,0.9,1,284,9
160,0,1.1,1.1,1,284,9
161,0,3.4,1.8,1,284,9
162,0,2.0,1.4,1,356,9
163,0,1.2,1.1,1,279,9
164,0,1.5,1.2,1,279,9
165,0,1.0,1.0,1,467,9
166,0,1.3,1.1,1,279,9
167,0,1.3,1.1,1,281,9
168,0,1.6,1.3,1,354,9
169,0,1.7,1.3,1,354,9
170,0,3.9,2.0,1,267,14
171,0,9.9,3.1,1,252,21
172,0,1.2,1.1,1,289,9
173,0,1.5,1.2,1,288,3
174,0,5.8,2.4,1,399,12
175,0,7.9,2.8,1,19,4
176,0,1.8,1.4,1,172,17
177,0,5.8,2.4,1,267,14
178,0,4.3,2.1,1,213,14
179,0,7.2,2.7,1,19,4
180,0,1.8,1.3,1,21,17
181,0,4.9,2.2,1,102,17
182,0,6.7,2.6,1,49,20
183,0,32.9,5.7,1,399,12
184,0,6.8,2.6,1,36,20
185,0,9.0,3.0,1,71,20
186,0,9.7,3.1,1,219,20
187,0,6.3,2.5,1,218,20
188,0,9.7,3.1,1,253,20
189,0,2.9,1.7,1,241,20
190,0,2.5,1.6,1,236,20
191,0,3.3,1.8,1,236,20
192,0,3.2,1.8,1,225,16
193,0,1.1,1.0,1,284,9
194,0,3.2,1.8,1,284,9
195,0,1.5,1.2,1,284,9
196,0,2.5,1.6,1,279,9
197,0,0.9,0.9,1,279,9
198,0,1.2,1.1,1,279,9
199,0,1.2,1.1,1,281,9
200,0,1.5,1.2,1,285,9
201,0,1.4,1.2,1,294,9
202,0,1.2,1.1,1,289,9
203,0,7.2,2.7,1,392,4
204,0,1.3,1.2,1,370,3
205,0,1.3,1.1,1,288,3
206,0,5.0,2.2,1,411,14
207,0,8.0,2.8,1,248,21
208,0,2.5,1.6,1,251,21
209,0,8.4,2.9,1,335,10
210,0,5.7,2.4,1,317,10
211,0,5.0,2.2,1,172,17
212,0,5.4,2.3,1,269,10
213,0,7.7,2.8,1,252,21
214,0,0.9,0.9,1,279,9
215,0,1.2,1.1,1,366,9
216,0,1.3,1.1,1,370,3
217,0,5.1,2.3,1,123,4
218,0,1.3,1.1,1,359,9
219,0,1.6,1.3,1,285,9
220,0,1.3,1.1,1,487,3
221,0,2.9,1.7,1,284,9
222,0,6.7,2.6,1,21,17
223,0,2.3,1.5,1,285,9
224,0,7.9,2.8,1,168,4
225,0,3.0,1.7,1,19,4
226,0,6.2,2.5,1,172,17
227,0,7.3,2.7,1,267,14
228,0,1.8,1.3,1,370,3
229,0,4.8,2.2,1,423,20
230,0,4.9,2.2,1,218,20
231,0,3.8,2.0,1,218,20
232,0,3.0,1.7,1,240,20
233,0,4.2,2.1,1,218,20
234,0,3.7,1.9,1,240,20
235,0,3.5,1.9,1,236,20
236,0,3.6,1.9,1,236,20
237,0,4.9,2.2,1,294,9
238,0,3.5,1.9,1,225,16
239,0,3.1,1.8,1,82,16
240,0,5.6,2.4,1,82,16
241,0,14.4,3.8,1,426,16
242,0,6.0,2.4,1,89,16
243,0,8.7,3.0,1,335,10
244,0,8.1,2.8,1,296,14
245,0,7.5,2.7,1,430,14
246,0,6.6,2.6,1,430,14
247,0,1.3,1.1,1,487,3
248,0,8.7,2.9,1,412,14
249,0,9.8,3.1,1,412,14
250,0,7.9,2.8,1,359,9
251,0,1.0,1.0,1,359,9
252,0,1.3,1.1,1,366,9
253,0,1.4,1.2,1,366,9
254,0,1.7,1.3,1,369,3
255,0,2.6,1.6,1,369,3
256,0,9.4,3.1,1,284,9
257,0,7.6,2.8,1,405,17
258,0,7.1,2.7,1,123,4
259,0,3.5,1.9,1,13,4
260,0,2.7,1.6,1,13,4
261,0,6.9,2.6,1,23,17
262,0,6.3,2.5,1,103,4
263,0,9.3,3.0,1,21,17
264,0,13.3,3.7,1,49,20
265,0,15.1,3.9,1,402,7
266,0,4.3,2.1,1,62,5
267,0,2.9,1.7,1,78,20
268,0,3.7,1.9,1,422,5
269,0,3.3,1.8,1,422,5
270,0,5.5,2.3,1,81,20
271,0,2.8,1.7,1,81,20
272,0,2.4,1.5,1,80,20
273,0,3.3,1.8,1,80,20
274,0,3.1,1.8,1,79,16
275,0,4.5,2.1,1,82,16
276,0,3.7,1.9,1,425,16
277,0,17.7,4.2,1,423,20
278,0,2.2,1.5,1,425,16
279,0,4.0,2.0,1,426,16
280,0,4.8,2.2,1,89,16
281,0,15.3,3.9,1,90,16
282,0,20.0,4.5,1,92,16
283,0,2.5,1.6,1,93,10
284,0,4.8,2.2,1,335,10
285,0,6.5,2.6,1,317,10
286,0,3.2,1.8,1,96,9
287,0,15.3,3.9,1,88,10
288,0,3.8,2.0,1,96,9
289,0,2.7,1.6,1,85,10
290,0,2.5,1.6,1,94,9
291,0,1.6,1.3,1,97,3
292,0,1.2,1.1,1,97,3
293,0,1.5,1.2,1,101,3
294,0,3.3,1.8,1,98,3
295,0,3.6,1.9,1,98,3
