SubcID,WasteCapacity(m3/d),ReuseCapacity(m3/d),InPointID,WasteCost(1e4CNY),ReuseTreatCost(1e4CNY),ReusePipeCost(1e4CNY)
972,4860,972.14,443,204.677,56.2821,108.665
930,9415.87,1936.12,471,256.056,96.953,294.176
1035,3097.44,884.59,397,184.858,52.2414,24.6553
424,5560.7,902.3,184,212.565,53.0653,108.835
303,12754.4,2021.32,393,293.847,100.306,167.571
601,11684.7,1417.73,72,281.726,75.8097,233.245
975,1292.54,419.65,379,164.598,28.9977,0
967,23975.1,3481.93,64,421.726,154.088,1128.46
1021,15249.6,2367.33,388,322.169,113.631,533.195
60,14399.4,1980.71,207,312.511,98.7114,410.207
464,12241.2,1417.42,315,288.03,75.7966,234.605
935,881.28,188.78,446,159.986,15.4346,1.58593
8,4155.84,831.25,6,196.755,49.7385,15.7268
1006,4826.3,1215.76,305,204.298,67.1484,69.8345
302,8912.16,1666.54,412,250.365,86.1308,132.711
977,3478.46,681.89,384,189.14,42.5394,19.0761
452,29262.8,4564.5,186,482.451,190.802,1364.36
310,18644.3,2957.85,167,360.805,135.471,597.658
775,5595.26,1076.42,432,212.954,60.9963,130.096
308,1607.9,0,429,168.135,0,0
45,19332,2483.2,417,368.648,117.999,386.524
119,18189.8,3141.42,376,355.626,142.065,660.91
862,1748.74,349.5,32,169.716,25.0989,11.5332
