RoadID,UpNode,DownNode,SystemType,OnLevel,OffLevel,MaxCapacity(L/s),DWF(L/s),LiftingHeight(m)
149,401,395,Waste,0,0,70,38.9,6.9
497,286,282,Waste,0,0,74,41.3,7.8
702,349,302,Waste,0,0,126,75.5,7.4
590,377,443,Waste,0,0,160,100.1,6.6
762,475,156,Waste,0,0,34,17.2,7.9
98,74,73,Waste,0,0,174,109.5,6.7
514,269,429,Waste,0,0,435,296.9,6.7
741,195,365,Waste,0,0,58,31.0,6.6
128,101,97,Waste,0,0,31,15.8,8.6
772,285,369,Waste,0,0,102,59.3,3.8
829,375,369,Waste,0,0,17,7.7,9.1
812,368,365,Waste,0,0,164,102.7,4.4
350,205,200,Waste,0,0,30,15.3,6.6
276,408,111,Waste,0,0,235,151.9,6.7
589,442,444,Waste,0,0,4,2.0,4.8
600,272,444,Waste,0,0,50,26.7,3.9
457,254,376,Waste,0,0,127,76.2,6.6
606,307,318,Waste,0,0,56,30.2,7.5
109,80,81,Waste,0,0,48,25.2,6.5
620,319,275,Waste,0,0,79,44.6,6.9
477,260,180,Waste,0,0,246,159.7,6.9
671,457,323,Waste,0,0,66,36.1,7.6
672,336,323,Waste,0,0,37,19.2,5.1
129,98,87,Waste,0,0,39,20.4,6.9
320,173,183,Waste,0,0,104,60.1,6.5
130,86,87,Waste,0,0,60,32.2,6.0
293,66,174,Waste,0,0,241,156.7,7.0
294,178,174,Waste,0,0,54,29.1,4.5
384,221,174,Waste,0,0,54,28.7,4.1
8,3,5,Waste,0,0,108,63.2,6.7
31,25,32,Waste,0,0,103,59.9,6.6
33,31,32,Waste,0,0,12,5.3,4.3
224,144,147,Waste,0,0,30,15.3,4.5
226,461,147,Waste,0,0,99,57.4,5.5
218,40,65,Waste,0,0,259,169.4,6.8
334,43,135,Waste,0,0,112,65.9,7.1
391,420,419,Waste,0,0,10,4.8,7.5
490,427,129,Waste,0,0,10,4.8,11.8
