PipeID,UpNode,DownNode,UpBottomElev,DownBottomElev,Shape,Height,Width,HydrolicRadius,Length,Slope,DesignFlow,CapitalCost(CNY),HasPump
173,400,117,5.99,5.34,CIRC,0.70,0.70,0.17,455.30,0.00,132,94846,0
156,104,393,3.88,3.33,CIRC,1.00,1.00,0.25,566.33,0.00,375,336524,0
201,105,120,9.00,6.60,CIRC,0.20,0.20,0.05,627.69,0.00,14,41596,0
168,120,122,6.50,4.65,CIRC,0.30,0.30,0.07,838.72,0.00,26,147725,0
152,394,108,8.50,7.05,CIRC,0.20,0.20,0.05,379.27,0.00,13,20786,0
264,108,122,7.05,3.90,CIRC,0.20,0.20,0.05,820.81,0.00,13,146641,0
169,122,498,3.75,2.83,CIRC,0.35,0.35,0.09,462.59,0.00,36,148615,0
288,172,111,6.11,5.41,CIRC,0.40,0.40,0.10,470.78,0.00,47,111886,0
276,111,408,5.31,4.20,CIRC,0.50,0.50,0.12,654.23,0.00,60,212265,0
3,408,1,4.20,3.34,CIRC,0.50,0.50,0.12,537.89,0.00,65,218201,0
2,1,8,3.24,9.60,CIRC,0.60,0.60,0.15,414.66,-0.02,110,2571866,1
39,23,29,8.60,7.30,CIRC,0.20,0.20,0.05,338.85,0.00,5,17251,0
286,29,172,7.20,6.21,CIRC,0.30,0.30,0.07,426.51,0.00,29,60972,0
273,8,110,9.60,8.55,CIRC,0.60,0.60,0.15,655.49,0.00,110,79384,0
37,20,28,7.10,6.04,CIRC,0.30,0.30,0.07,352.67,0.00,18,30122,0
268,167,406,3.70,3.01,CIRC,0.40,0.40,0.10,458.75,0.00,39,149466,0
101,75,76,7.20,5.04,CIRC,0.20,0.20,0.05,563.48,0.00,7,41011,0
284,76,167,4.94,3.80,CIRC,0.30,0.30,0.07,381.84,0.00,16,79591,0
267,406,28,3.01,2.61,CIRC,0.40,0.40,0.10,267.65,0.00,39,96753,0
271,102,405,8.50,7.59,CIRC,0.20,0.20,0.05,237.65,0.00,6,9800,0
270,405,167,7.59,4.98,CIRC,0.20,0.20,0.05,682.29,0.00,6,90962,0
269,28,407,2.56,1.86,CIRC,0.45,0.45,0.11,532.61,0.00,53,219931,0
24,407,13,1.86,8.35,CIRC,0.45,0.45,0.11,490.14,-0.01,53,1618443,1
177,399,398,8.35,7.11,CIRC,0.35,0.35,0.09,622.30,0.00,37,41519,0
165,398,6,7.01,6.27,CIRC,0.45,0.45,0.11,563.57,0.00,56,96101,0
562,208,269,7.94,7.08,CIRC,1.00,1.00,0.25,749.90,0.00,294,372595,0
561,88,269,11.00,8.01,CIRC,0.20,0.20,0.05,781.66,0.00,10,73915,0
754,96,284,8.70,6.60,CIRC,0.80,0.80,0.20,782.65,0.00,178,162062,0
516,284,269,6.50,5.68,CIRC,0.90,0.90,0.23,787.23,0.00,213,315924,0
536,200,206,6.73,10.90,CIRC,0.30,0.30,0.07,768.21,-0.01,20,852288,1
735,205,209,9.30,6.99,CIRC,0.20,0.20,0.05,770.05,0.00,8,93746,0
713,354,353,9.30,8.10,CIRC,0.20,0.20,0.05,399.13,0.00,11,31513,0
746,353,209,7.90,7.31,CIRC,0.40,0.40,0.10,396.91,0.00,47,80313,0
745,281,353,10.50,9.16,CIRC,0.20,0.20,0.05,349.73,0.00,9,18171,0
361,474,209,7.20,6.00,CIRC,0.20,0.20,0.05,400.17,0.00,2,59619,0
360,209,206,5.70,10.70,CIRC,0.50,0.50,0.12,653.71,0.00,69,1930475,1
359,206,210,10.60,9.50,CIRC,0.60,0.60,0.15,651.42,0.00,103,88154,0
358,210,208,9.40,8.35,CIRC,0.70,0.70,0.17,786.21,0.00,145,189497,0
514,269,429,5.38,5.06,CIRC,1.20,1.20,0.30,401.19,0.00,500,321575,0
